"phase","is_practice","round","MSIT_trial_type","trial_duration","fixation_duration","stimulus","rt","key_press","correct_response","correct","is_missed","MSIT_trials_performed","time_elapsed","worker_ID","match_screen_side","n_matches","mismatch_screen_side","n_mismatches","demand_selection_trials_performed","message_duration","attention_check","event","trial","time"
"MSIT","true","0","matching","1000","250","0 2 0","699.8449999373406","2","2","true","false","1","78710","","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","0 0 3","null","null","3","null","true","2","79971","","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","0 0 3","974.0100000053644","3","3","true","false","3","81952","","","","","","","","","","",""
"MSIT","true","0","matching","1000","250","0 0 3","null","null","3","null","true","4","83213","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 2 2","732.2849999181926","3","3","true","false","1","99148","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 2 2","675.1949999015778","3","3","true","false","2","100079","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 3 2","565.0499999755993","3","3","true","false","3","100899","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 2 2","533.2049999851733","3","3","true","false","4","101687","","","","","","","","","","",""
"demand selection","true","0","","7000","","","","leftarrow","","","false","","153516","","right","10","left","1","1","500","0","","",""
"demand selection","true","0","","7000","","","","rightarrow","","","false","","157249","","left","12","right","7","2","500","0","","",""
"MSIT","true","0","mismatching","1000","250","1 1 2","586.6650000680238","2","2","true","false","1","161725","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 1 3","461.5399999311194","1","1","true","false","2","162441","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 1 2","465.94000002369285","1","1","true","false","3","163163","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","2 2 1","null","null","1","null","true","4","164418","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 2 2","null","null","3","null","true","5","165678","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 3 1","null","null","1","null","true","6","166933","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","3 3 1","32.03999996185303","1","1","true","false","7","167220","","","","","","","","","","",""
"demand selection","true","0","","7000","","","","leftarrow","","","false","","171192","","right","12","left","4","3","500","0","","",""
"demand selection","true","0","","7000","","","","rightarrow","","","false","","173459","","left","14","right","2","4","500","0","","",""
"MSIT","true","0","mismatching","1000","250","2 3 2","860.2299999911338","3","3","true","false","1","182587","","","","","","","","","","",""
"MSIT","true","0","mismatching","1000","250","1 1 2","635.6500000692904","2","2","true","false","2","183477","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","210651","","right","12","left","8","1","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","213145","","left","16","right","8","2","500","0","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","null","null","1","null","true","1","219906","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","621.7300000134856","3","3","true","false","2","220780","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","720.5149999354035","2","2","true","false","3","221755","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","722.0049999887124","3","3","true","false","4","222729","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","808.1549999769777","1","1","true","false","5","223792","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","639.119999948889","2","2","true","false","6","224687","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","439.3649999983609","2","2","true","false","7","225380","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","390.2300000190735","2","2","true","false","8","226025","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","null","","","true","","238036","","left","3","right","3","3","500","1","","",""
"demand selection","false","1","","7000","","","","null","","","true","","246050","","left","16","right","4","4","500","2","","",""
"demand selection","false","1","","7000","","","","null","","","true","","254312","","right","9","left","3","5","500","3","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","257150","","right","8","left","12","6","500","0","","",""
"MSIT","false","1","matching","1000","250","0 0 3","503.55500006116927","3","3","true","false","1","260912","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","447.92999990750104","2","2","true","false","2","261611","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","429.75999996997416","1","1","true","false","3","262292","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","404.3900000397116","2","2","true","false","4","262948","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","460.2350000059232","1","1","true","false","5","263662","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","396.83500002138317","2","2","true","false","6","264315","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","461.46000002045184","1","1","true","false","7","265032","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","401.3999999733642","2","2","true","false","8","265686","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","269647","","left","16","right","6","7","500","0","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","274439","","right","3","left","2","8","500","0","","",""
"MSIT","false","1","mismatching","1000","250","2 1 2","618.0500000482425","1","1","true","false","1","276443","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 1 1","615.6900000059977","3","3","true","false","2","277312","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","279244","","left","5","right","1","9","500","0","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","null","null","2","null","true","1","283506","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","287316","","right","15","left","9","10","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","289181","","left","11","right","4","11","500","0","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","619.1550000803545","1","1","true","false","1","294940","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 1 2","606.6400000127032","2","2","true","false","2","295798","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 2","584.2900000279769","1","1","true","false","3","296637","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","664.6649999311194","2","2","true","false","4","297557","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","303193","","right","10","left","10","12","500","0","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","305116","","right","13","left","3","13","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","307417","","left","12","right","7","14","500","0","","",""
"MSIT","false","1","mismatching","1000","250","2 1 2","604.5000000158325","1","1","true","false","1","311908","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","3 3 2","731.874999939464","2","2","true","false","2","312893","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","553.2299999613315","1","1","true","false","3","313700","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 1 1","476.1700000381097","2","2","true","false","4","314428","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 3 3","414.95499992743134","2","2","true","false","5","315094","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","1 3 1","482.8599999891594","3","3","true","false","6","315830","","","","","","","","","","",""
"MSIT","false","1","mismatching","1000","250","2 2 1","null","null","1","null","true","7","317084","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","320989","","right","14","left","7","15","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","322939","","left","10","right","2","16","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","325015","","right","5","left","5","17","500","0","","",""
"MSIT","false","1","matching","1000","250","0 0 3","581.3799999887124","3","3","true","false","1","326356","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","450.3549999790266","2","2","true","false","2","327057","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","483.2049999386072","1","1","true","false","3","327792","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","425.8799999952316","1","1","true","false","4","328470","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","551.0050000157207","2","2","true","false","5","329277","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","330133","","left","15","right","3","18","500","0","","",""
"demand selection","false","1","","7000","","","","rightarrow","","","false","","332823","","right","16","left","7","19","500","0","","",""
"MSIT","false","1","matching","1000","250","1 0 0","620.4900000011548","2","1","false","false","1","334203","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","10.780000011436641","1","3","false","false","2","334466","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","453.5350000951439","3","3","true","false","3","335172","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","343.31000002566725","2","2","true","false","4","335768","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","480.08499993011355","1","1","true","false","5","336501","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","438.61000007018447","1","3","false","false","6","337191","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","83.03500001784414","1","2","false","false","7","337525","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","201.15500001702458","1","2","false","false","8","337981","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","269.9649999849498","2","3","false","false","9","338505","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","1 0 0","413.0300000542775","1","1","true","false","10","339171","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","438.7649999698624","3","3","true","false","11","339864","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","348.2799999183044","2","2","true","false","12","340467","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","374.83000010252","2","2","true","false","13","341093","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","423.48500003572553","3","3","true","false","14","341768","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 2 0","373.699999996461","2","2","true","false","15","342397","","","","","","","","","","",""
"MSIT","false","1","matching","1000","250","0 0 3","448.7199999857694","3","3","true","false","16","343101","","","","","","","","","","",""
"demand selection","false","1","","7000","","","","leftarrow","","","false","","344038","","right","8","left","2","20","500","0","","",""
"MSIT","false","1","mismatching","1000","250","3 1 3","597.0199999865144","1","1","true","false","1","349145","","","","","","","","","","",""
