"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","key_press","task_choice","round","choice_number","current_round_time","number_harvests","number_travels_in_round","task_type","correct_response","task_number","correct","accuracy_control","mean_rt_control","accuracy_congruent","mean_rt_congruent","accuracy_incongruent","mean_rt_incongruent","value"
"true","fullscreen","0","5010","0.0-0.0","","","","","","","","","","","","","","","","","","","","",""
"","instructions","1","8749","0.0-1.0","[{""page_index"":0,""viewing_time"":1512.2249999840278},{""page_index"":1,""viewing_time"":380.82500000018626},{""page_index"":2,""viewing_time"":353.4450000151992},{""page_index"":3,""viewing_time"":353.81000000052154},{""page_index"":4,""viewing_time"":373.90000000596046},{""page_index"":5,""viewing_time"":761.1650000035297}]","3736.589999985881","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","10128","0.0-2.0-0.0-0.0-0.0","","1375.610000017332","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","1","0","1","0","","","","","","","","","","",""
"","html-keyboard-response","3","10346","0.0-2.0-0.0-0.1-0.1","","211.0699999902863","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","2","218","2","0","","","","","","","","","","",""
"","html-keyboard-response","4","10554","0.0-2.0-0.0-0.2-0.2","","206.81499998318031","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","3","426","3","0","","","","","","","","","","",""
"","html-keyboard-response","5","10757","0.0-2.0-0.0-0.3-0.3","","199.55499999923632","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","4","629","4","0","","","","","","","","","","",""
"","html-keyboard-response","6","10960","0.0-2.0-0.0-0.4-0.4","","200.91000001411885","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","5","832","5","0","","","","","","","","","","",""
"","html-keyboard-response","7","11153","0.0-2.0-0.0-0.5-0.5","","190.81499997992069","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","6","1025","6","0","","","","","","","","","","",""
"","html-keyboard-response","8","11336","0.0-2.0-0.0-0.6-0.6","","181.0049999912735","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","7","1208","7","0","","","","","","","","","","",""
"","html-keyboard-response","9","11509","0.0-2.0-0.0-0.7-0.7","","170.93500000191852","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","74","harvest","1","8","1381","8","0","","","","","","","","","","",""
"","html-keyboard-response","10","11672","0.0-2.0-0.0-0.8-0.8","","160.91000000596978","Placeholder for harvest tasks. Press f to travel and j to continue harvesting.","70","travel","1","9","1544","8","1","","","","","","","","","","",""
"","html-keyboard-response","11","11924","0.0-2.0-0.0-1.0-0.0-0.0-0.0","","null","+","null","","1","9","1796","0","1","fixation","","","","","","","","","",""
"","html-keyboard-response","12","12929","0.0-2.0-0.0-1.0-0.0-0.0-1.0","","is_missed","3 3 1","null","","","","2801","","","incongruent","1","1","is_missed","","","","","","",""
